Date,year,period,month,value,Close,High,Low,Open,Volume
2025-04-01,2025,M04,April,159517.0,5569.06005859375,5695.31005859375,4835.0400390625,5597.52978515625,118936380000.0
2025-03-01,2025,M03,March,159340.0,5611.85009765625,5986.08984375,5488.72998046875,5968.330078125,111387270000.0
2025-02-01,2025,M02,February,159155.0,5954.5,6147.43017578125,5837.66015625,5969.64990234375,92317000000.0
2025-01-01,2025,M01,January,159053.0,6040.52978515625,6128.18017578125,5773.31005859375,5903.259765625,88639380000.0
2024-12-01,2024,M12,December,158942.0,5881.6298828125,6099.97021484375,5832.2998046875,6040.10986328125,86064900000.0
2024-11-01,2024,M11,November,158619.0,6032.3798828125,6044.169921875,5696.509765625,5723.22021484375,84101980000.0
2024-10-01,2024,M10,October,158358.0,5705.4501953125,5878.4599609375,5674.0,5757.72998046875,82412430000.0
2024-09-01,2024,M09,September,158314.0,5762.47998046875,5767.3701171875,5402.6201171875,5623.89013671875,79564830000.0
2024-08-01,2024,M08,August,158074.0,5648.39990234375,5651.6201171875,5119.259765625,5537.83984375,81097300000.0
2024-07-01,2024,M07,July,158003.0,5522.2998046875,5669.669921875,5390.9501953125,5471.080078125,80160390000.0
2024-06-01,2024,M06,June,157915.0,5460.47998046875,5523.64013671875,5234.31982421875,5297.14990234375,76025620000.0
2024-05-01,2024,M05,May,157828.0,5277.509765625,5341.8798828125,5011.0498046875,5029.02978515625,86849720000.0
2024-04-01,2024,M04,April,157635.0,5035.68994140625,5263.9501953125,4953.56005859375,5257.97021484375,81747170000.0
2024-03-01,2024,M03,March,157517.0,5254.35009765625,5264.85009765625,5056.81982421875,5098.509765625,86299510000.0
2024-02-01,2024,M02,February,157271.0,5096.27001953125,5111.06005859375,4853.52001953125,4861.10986328125,82066930000.0
2024-01-01,2024,M01,January,157049.0,4845.64990234375,4931.08984375,4682.10986328125,4745.2001953125,81737880000.0
2023-12-01,2023,M12,December,156930.0,4769.830078125,4793.2998046875,4546.5,4559.43017578125,81530670000.0
2023-11-01,2023,M11,November,156661.0,4567.7998046875,4587.64013671875,4197.740234375,4201.27001953125,80970570000.0
2023-10-01,2023,M10,October,156520.0,4193.7998046875,4393.56982421875,4103.77978515625,4284.52001953125,83519460000.0
2023-09-01,2023,M09,September,156334.0,4288.0498046875,4541.25,4238.6298828125,4530.60009765625,73482980000.0
2023-08-01,2023,M08,August,156176.0,4507.66015625,4584.6201171875,4335.31005859375,4578.830078125,86840820000.0
2023-07-01,2023,M07,July,156019.0,4588.9599609375,4607.06982421875,4385.0498046875,4450.47998046875,75063200000.0
2023-06-01,2023,M06,June,155871.0,4450.3798828125,4458.47998046875,4171.64013671875,4183.02978515625,87983140000.0
2023-05-01,2023,M05,May,155614.0,4179.830078125,4231.10009765625,4048.280029296875,4166.7900390625,85190040000.0
2023-04-01,2023,M04,April,155387.0,4169.47998046875,4170.06005859375,4049.35009765625,4102.2001953125,70861260000.0
2023-03-01,2023,M03,March,155171.0,4109.31005859375,4110.75,3808.860107421875,3963.340087890625,113094800000.0
2023-02-01,2023,M02,February,155086.0,3970.14990234375,4195.43994140625,3943.080078125,4070.070068359375,80392280000.0
2023-01-01,2023,M01,January,154780.0,4076.60009765625,4094.2099609375,3794.330078125,3853.2900390625,80763810000.0
2022-12-01,2022,M12,December,154336.0,3839.5,4100.9599609375,3764.489990234375,4087.139892578125,85249330000.0
2022-11-01,2022,M11,November,154210.0,4080.110107421875,4080.110107421875,3698.14990234375,3901.7900390625,92671910000.0
2022-10-01,2022,M10,October,153913.0,3871.97998046875,3905.419921875,3491.580078125,3609.780029296875,95823760000.0
2022-09-01,2022,M09,September,153513.0,3585.6201171875,4119.27978515625,3584.1298828125,3936.72998046875,94241020000.0
2022-08-01,2022,M08,August,153286.0,3955.0,4325.27978515625,3954.530029296875,4112.3798828125,92252350000.0
2022-07-01,2022,M07,July,153049.0,4130.2900390625,4140.14990234375,3721.56005859375,3781.0,81688320000.0
2022-06-01,2022,M06,June,152353.0,3785.3798828125,4177.509765625,3636.8701171875,4149.77978515625,106116710000.0
2022-05-01,2022,M05,May,151892.0,4132.14990234375,4307.66015625,3810.320068359375,4130.60986328125,108860390000.0
2022-04-01,2022,M04,April,151651.0,4131.93017578125,4593.4501953125,4124.27978515625,4540.31982421875,90367840000.0
2022-03-01,2022,M03,March,151346.0,4530.41015625,4637.2998046875,4157.8701171875,4363.14013671875,123546260000.0
2022-02-01,2022,M02,February,150875.0,4373.93994140625,4595.31005859375,4114.64990234375,4519.56982421875,92667710000.0
2022-01-01,2022,M01,January,150006.0,4515.5498046875,4818.6201171875,4222.6201171875,4778.14013671875,95562890000.0
2021-12-01,2021,M12,December,149781.0,4766.18017578125,4808.93017578125,4495.1201171875,4602.81982421875,92750180000.0
2021-11-01,2021,M11,November,149206.0,4567.0,4743.830078125,4560.0,4610.6201171875,88268840000.0
2021-10-01,2021,M10,October,148569.0,4605.3798828125,4608.080078125,4278.93994140625,4317.16015625,80253600000.0
2021-09-01,2021,M09,September,147712.0,4307.5400390625,4545.85009765625,4305.91015625,4528.7998046875,85528860000.0
2021-08-01,2021,M08,August,147246.0,4522.68017578125,4537.35986328125,4367.72998046875,4406.85986328125,80500760000.0
2021-07-01,2021,M07,July,146759.0,4395.259765625,4429.97021484375,4233.1298828125,4300.72998046875,84255620000.0
2021-06-01,2021,M06,June,145828.0,4297.5,4302.43017578125,4164.39990234375,4216.52001953125,102544180000.0
2021-05-01,2021,M05,May,145032.0,4204.10986328125,4238.0400390625,4056.8798828125,4191.97998046875,88321860000.0
2021-04-01,2021,M04,April,144611.0,4181.169921875,4218.77978515625,3992.780029296875,3992.780029296875,83124090000.0
2021-03-01,2021,M03,March,144246.0,3972.889892578125,3994.409912109375,3723.340087890625,3842.510009765625,122371150000.0
2021-02-01,2021,M02,February,143422.0,3811.14990234375,3950.429931640625,3725.6201171875,3731.169921875,99082320000.0
2021-01-01,2021,M01,January,142913.0,3714.239990234375,3870.89990234375,3662.7099609375,3764.610107421875,106117800000.0
2020-12-01,2020,M12,December,142548.0,3756.070068359375,3760.199951171875,3633.39990234375,3645.8701171875,96375680000.0
2020-11-01,2020,M11,November,142731.0,3621.6298828125,3645.989990234375,3279.739990234375,3296.199951171875,101247180000.0
2020-10-01,2020,M10,October,142461.0,3269.9599609375,3549.85009765625,3233.93994140625,3385.8701171875,89938980000.0
2020-09-01,2020,M09,September,141770.0,3363.0,3588.110107421875,3209.449951171875,3507.43994140625,92310780000.0
2020-08-01,2020,M08,August,140819.0,3500.31005859375,3514.77001953125,3284.530029296875,3288.260009765625,82466520000.0
2020-07-01,2020,M07,July,139255.0,3271.1201171875,3279.989990234375,3101.169921875,3105.919921875,96928130000.0
2020-06-01,2020,M06,June,137671.0,3100.2900390625,3233.1298828125,2965.659912109375,3038.780029296875,131458880000.0
2020-05-01,2020,M05,May,133040.0,3044.31005859375,3068.669921875,2766.639892578125,2869.090087890625,107135190000.0
2020-04-01,2020,M04,April,130424.0,2912.429931640625,2954.860107421875,2447.489990234375,2498.080078125,123608160000.0
2020-03-01,2020,M03,March,150895.0,2584.590087890625,3136.719970703125,2191.860107421875,2974.280029296875,162185380000.0
2020-02-01,2020,M02,February,152292.0,2954.219970703125,3393.52001953125,2855.840087890625,3235.659912109375,84436590000.0
2020-01-01,2020,M01,January,152031.0,3225.52001953125,3337.77001953125,3214.639892578125,3244.669921875,77287980000.0
2019-12-01,2019,M12,December,151795.0,3230.780029296875,3247.929931640625,3070.330078125,3143.85009765625,72325540000.0
2019-11-01,2019,M11,November,151668.0,3140.97998046875,3154.260009765625,3050.719970703125,3050.719970703125,72410620000.0
2019-10-01,2019,M10,October,151460.0,3037.56005859375,3050.10009765625,2855.93994140625,2983.68994140625,77720640000.0
2019-09-01,2019,M09,September,151365.0,2976.739990234375,3021.989990234375,2891.85009765625,2909.010009765625,74178980000.0
2019-08-01,2019,M08,August,151171.0,2926.4599609375,3013.590087890625,2822.1201171875,2980.320068359375,80269220000.0
2019-07-01,2019,M07,July,150936.0,2980.3798828125,3027.97998046875,2952.219970703125,2971.409912109375,70599470000.0
2019-06-01,2019,M06,June,150839.0,2941.760009765625,2964.14990234375,2728.81005859375,2751.530029296875,71250630000.0
2019-05-01,2019,M05,May,150621.0,2752.06005859375,2954.1298828125,2750.52001953125,2952.330078125,77250740000.0
2019-04-01,2019,M04,April,150593.0,2945.830078125,2949.52001953125,2848.6298828125,2848.6298828125,70090370000.0
2019-03-01,2019,M03,March,150295.0,2834.39990234375,2860.31005859375,2722.27001953125,2798.219970703125,79159660000.0
2019-02-01,2019,M02,February,150065.0,2784.489990234375,2813.489990234375,2681.830078125,2702.320068359375,70638770000.0
2019-01-01,2019,M01,January,150059.0,2704.10009765625,2708.949951171875,2443.9599609375,2476.9599609375,80859870000.0
2018-12-01,2018,M12,December,149809.0,2506.85009765625,2800.179931640625,2346.580078125,2790.5,84162180000.0
2018-11-01,2018,M11,November,149617.0,2760.169921875,2815.14990234375,2631.090087890625,2717.580078125,80620020000.0
2018-10-01,2018,M10,October,149526.0,2711.739990234375,2939.860107421875,2603.5400390625,2926.2900390625,91930980000.0
2018-09-01,2018,M09,September,149358.0,2913.97998046875,2940.909912109375,2864.1201171875,2896.9599609375,63031510000.0
2018-08-01,2018,M08,August,149279.0,2901.52001953125,2916.5,2796.340087890625,2821.169921875,69523070000.0
2018-07-01,2018,M07,July,149020.0,2816.2900390625,2848.030029296875,2698.949951171875,2704.949951171875,64898300000.0
2018-06-01,2018,M06,June,148959.0,2718.3701171875,2791.469970703125,2691.989990234375,2718.699951171875,77891360000.0
2018-05-01,2018,M05,May,148740.0,2705.27001953125,2742.239990234375,2594.6201171875,2642.9599609375,76011820000.0
2018-04-01,2018,M04,April,148422.0,2648.050048828125,2717.489990234375,2553.800048828125,2633.449951171875,70194700000.0
2018-03-01,2018,M03,March,148280.0,2640.8701171875,2801.89990234375,2585.889892578125,2715.219970703125,76803890000.0
2018-02-01,2018,M02,February,148054.0,2713.830078125,2835.9599609375,2532.68994140625,2816.449951171875,79933970000.0
2018-01-01,2018,M01,January,147660.0,2823.81005859375,2872.8701171875,2682.360107421875,2683.72998046875,77318690000.0
2017-12-01,2017,M12,December,147523.0,2673.610107421875,2694.969970703125,2605.52001953125,2645.10009765625,65531700000.0
2017-11-01,2017,M11,November,147373.0,2647.580078125,2657.739990234375,2557.449951171875,2583.2099609375,73416960000.0
2017-10-01,2017,M10,October,147150.0,2575.260009765625,2582.97998046875,2520.39990234375,2521.199951171875,71088550000.0
2017-09-01,2017,M09,September,147007.0,2519.360107421875,2519.43994140625,2446.550048828125,2474.419921875,66624120000.0
2017-08-01,2017,M08,August,146919.0,2471.64990234375,2490.8701171875,2417.35009765625,2477.10009765625,70784900000.0
2017-07-01,2017,M07,July,146772.0,2470.300048828125,2484.0400390625,2407.699951171875,2431.389892578125,63348090000.0
2017-06-01,2017,M06,June,146583.0,2423.409912109375,2453.820068359375,2405.699951171875,2415.64990234375,81078810000.0
2017-05-01,2017,M05,May,146380.0,2411.800048828125,2418.7099609375,2352.719970703125,2388.5,79719460000.0
2017-04-01,2017,M04,April,146174.0,2384.199951171875,2398.159912109375,2328.949951171875,2362.340087890625,65369860000.0
2017-03-01,2017,M03,March,145969.0,2362.719970703125,2400.97998046875,2322.25,2380.1298828125,81664010000.0
2017-02-01,2017,M02,February,145848.0,2363.639892578125,2371.5400390625,2271.64990234375,2285.590087890625,69260940000.0
2017-01-01,2017,M01,January,145628.0,2278.8701171875,2300.989990234375,2245.1298828125,2251.570068359375,70576420000.0
2016-12-01,2016,M12,December,145408.0,2238.830078125,2277.530029296875,2187.43994140625,2200.169921875,75344550000.0
2016-11-01,2016,M11,November,145183.0,2198.81005859375,2214.10009765625,2083.7900390625,2128.679931640625,88445380000.0
2016-10-01,2016,M10,October,145066.0,2126.14990234375,2169.60009765625,2114.719970703125,2164.330078125,72915530000.0
2016-09-01,2016,M09,September,144967.0,2168.27001953125,2187.8701171875,2119.1201171875,2171.330078125,77023620000.0
2016-08-01,2016,M08,August,144662.0,2170.949951171875,2193.81005859375,2147.580078125,2173.14990234375,75610310000.0
2016-07-01,2016,M07,July,144520.0,2173.60009765625,2177.090087890625,2074.02001953125,2099.340087890625,69530250000.0
2016-06-01,2016,M06,June,144146.0,2098.860107421875,2120.550048828125,1991.6800537109375,2093.93994140625,86852700000.0
2016-05-01,2016,M05,May,143900.0,2096.949951171875,2103.47998046875,2025.9100341796875,2067.169921875,78883600000.0
2016-04-01,2016,M04,April,143855.0,2065.300048828125,2111.050048828125,2033.800048828125,2056.6201171875,81124990000.0
2016-03-01,2016,M03,March,143662.0,2059.739990234375,2072.2099609375,1937.0899658203125,1937.0899658203125,92639420000.0
2016-02-01,2016,M02,February,143407.0,1932.22998046875,1962.9599609375,1810.0999755859375,1936.93994140625,93049560000.0
2016-01-01,2016,M01,January,143210.0,1940.239990234375,2038.199951171875,1812.2900390625,2038.199951171875,92409770000.0
2015-12-01,2015,M12,December,143077.0,2043.93994140625,2104.27001953125,1993.260009765625,2082.929931640625,83649260000.0
2015-11-01,2015,M11,November,142808.0,2080.409912109375,2116.47998046875,2019.3900146484375,2080.760009765625,75943590000.0
2015-10-01,2015,M10,October,142579.0,2079.360107421875,2094.320068359375,1893.699951171875,1919.6500244140625,85844900000.0
2015-09-01,2015,M09,September,142275.0,1920.030029296875,2020.8599853515625,1871.9100341796875,1970.0899658203125,79989370000.0
2015-08-01,2015,M08,August,142125.0,1972.1800537109375,2112.659912109375,1867.010009765625,2104.489990234375,84626790000.0
2015-07-01,2015,M07,July,141991.0,2103.840087890625,2132.820068359375,2044.02001953125,2067.0,77920590000.0
